Time,LAT
1.581,-106.4
1.582,-13.37
1.583,82.63
1.584,94.63
1.585,77.62
1.586,128.6
1.587,142.6
1.588,172.6
1.589,142.6
1.590,132.6
1.591,140.6
1.592,113.6
1.593,42.63
1.594,-11.38
1.595,-83.38
1.596,-163.4
1.597,-167.4
1.598,-174.4
1.599,-128.4
1.600,-145.4
1.601,-117.4
1.602,-0.3632
1.603,66.62
1.604,27.62
1.605,-53.37
1.606,-41.38
1.607,-87.38
1.608,18.63
1.609,172.6
1.610,210.6
1.611,181.6
1.612,111.6
1.613,60.63
1.614,55.63
1.615,53.64
1.616,39.63
1.617,3.632
1.618,-102.4
1.619,-128.4
1.620,-197.4
1.621,-353.4
1.622,-368.4
1.623,-277.4
1.624,-174.4
1.625,-151.4
1.626,-169.4
1.627,14.62
1.628,227.6
